Team.Num,Team,Team.ABR,Games,Plays,Against Count,Against Yards,Beneficiary Count,Beneficiary Yards,Net Count,Net Yards,Pre-snap Count,Declined,Offsetting,Total Flags,Home,Away,Net.Count2,More.Away
1,Arizona,AZ,16,2587,113,878,104,841,-9,-37,45,12,6,131,56,57,-1,TRUE
2,Atlanta,ATL,16,2571,83,736,91,800,8,64,27,18,3,104,39,44,-5,TRUE
3,Baltimore,BAL,16,2440,104,961,77,646,-27,-315,37,21,1,126,50,54,-4,TRUE
4,Buffalo,BUF,16,2515,102,942,86,729,-16,-213,37,15,5,122,46,56,-10,TRUE
5,Carolina,CAR,16,2441,95,752,85,713,-10,-39,30,12,3,110,49,46,3,FALSE
6,Chicago,CHI,16,2520,88,777,95,871,7,94,33,8,4,100,38,50,-12,TRUE
7,Cincinnati,CIN,16,2524,83,675,99,795,16,120,35,11,7,101,39,44,-5,TRUE
8,Cleveland,CLE,16,2492,100,870,84,686,-16,-184,43,10,1,111,44,56,-12,TRUE
9,Dallas,DAL,16,2638,96,849,91,733,-5,-116,35,16,1,113,44,52,-8,TRUE
10,Denver,DEN,16,2715,81,670,106,952,25,282,28,16,6,103,43,38,5,FALSE
11,Detroit,DET,16,2520,95,860,103,807,8,-53,34,13,5,113,52,43,9,FALSE
12,Green Bay,GB,16,2400,84,684,79,734,-5,50,28,7,4,95,37,47,-10,TRUE
13,Houston,HOU,16,2462,80,619,76,678,-4,59,36,12,1,93,37,43,-6,TRUE
14,Indianapolis,IND,16,2474,94,895,86,755,-8,-140,27,10,3,107,42,52,-10,TRUE
15,Jacksonville,JAC,16,2518,107,1071,78,710,-29,-361,37,11,1,119,56,51,5,FALSE
16,Kansas City,KC,16,2525,105,919,97,760,-8,-159,32,12,2,119,46,59,-13,TRUE
17,LA Chargers,LAC,16,2593,85,710,94,869,9,159,33,7,3,95,48,37,11,FALSE
18,LA Rams,LAR,16,2517,71,655,78,582,7,-73,27,9,3,83,32,39,-7,TRUE
19,Las Vegas,LV,16,2710,98,857,95,915,-3,58,30,17,3,118,46,52,-6,TRUE
20,Miami,MIA,16,2476,74,635,85,805,11,170,23,14,8,96,35,39,-4,TRUE
21,Minnesota,MIN,16,2527,82,650,83,723,1,73,29,10,1,93,43,39,4,FALSE
22,N.Y. Giants,NYG,16,2435,81,644,88,681,7,37,31,9,2,92,37,44,-7,TRUE
23,N.Y. Jets,NYJ,16,2475,101,952,99,900,-2,-52,26,21,1,123,51,50,1,FALSE
24,New England,NE,16,2363,62,534,82,639,20,105,18,9,1,72,28,34,-6,TRUE
25,New Orleans,NO,16,2498,98,1005,64,517,-34,-488,21,15,4,117,49,49,0,FALSE
26,Philadelphia,PHI,16,2585,107,853,112,1036,5,183,56,10,1,118,51,56,-5,TRUE
27,Pittsburgh,PIT,16,2504,81,691,103,980,22,289,25,5,4,90,49,32,17,FALSE
28,San Francisco,SF,16,2501,85,731,79,709,-6,-22,25,14,4,103,43,42,1,FALSE
29,Seattle,SEA,16,2596,84,662,94,803,10,141,36,19,2,105,46,38,8,FALSE
30,Tampa Bay,TB,16,2502,84,715,95,1015,11,300,36,8,5,97,36,48,-12,TRUE
31,Tennessee,TEN,16,2565,86,783,103,840,17,57,31,9,2,97,41,45,-4,TRUE
32,Washington,WAS,16,2497,87,697,85,708,-2,11,39,12,1,100,39,48,-9,TRUE
