Team,Games,Plays,Against Count,Against Yards,Beneficiary Count,Beneficiary Yards,Net Count,Net Yards,Pre-snap Count,Declined,Offsetting,Total Flags,Home,Away
Arizona,16,2587,113,878,104,841,-9,-37,45,12,6,131,56,57
Atlanta,16,2571,83,736,91,800,8,64,27,18,3,104,39,44
Baltimore,16,2440,104,961,77,646,-27,-315,37,21,1,126,50,54
Buffalo,16,2515,102,942,86,729,-16,-213,37,15,5,122,46,56
Carolina,16,2441,95,752,85,713,-10,-39,30,12,3,110,49,46
Chicago,16,2520,88,777,95,871,7,94,33,8,4,100,38,50
Cincinnati,16,2524,83,675,99,795,16,120,35,11,7,101,39,44
Cleveland,16,2492,100,870,84,686,-16,-184,43,10,1,111,44,56
Dallas,16,2638,96,849,91,733,-5,-116,35,16,1,113,44,52
Denver,16,2715,81,670,106,952,25,282,28,16,6,103,43,38
Detroit,16,2520,95,860,103,807,8,-53,34,13,5,113,52,43
Green Bay,16,2400,84,684,79,734,-5,50,28,7,4,95,37,47
Houston,16,2462,80,619,76,678,-4,59,36,12,1,93,37,43
Indianapolis,16,2474,94,895,86,755,-8,-140,27,10,3,107,42,52
Jacksonville,16,2518,107,1071,78,710,-29,-361,37,11,1,119,56,51
Kansas City,16,2525,105,919,97,760,-8,-159,32,12,2,119,46,59
LA Chargers,16,2593,85,710,94,869,9,159,33,7,3,95,48,37
LA Rams,16,2517,71,655,78,582,7,-73,27,9,3,83,32,39
Las Vegas,16,2710,98,857,95,915,-3,58,30,17,3,118,46,52
Miami,16,2476,74,635,85,805,11,170,23,14,8,96,35,39
Minnesota,16,2527,82,650,83,723,1,73,29,10,1,93,43,39
N.Y. Giants,16,2435,81,644,88,681,7,37,31,9,2,92,37,44
N.Y. Jets,16,2475,101,952,99,900,-2,-52,26,21,1,123,51,50
New England,16,2363,62,534,82,639,20,105,18,9,1,72,28,34
New Orleans,16,2498,98,1005,64,517,-34,-488,21,15,4,117,49,49
Philadelphia,16,2585,107,853,112,1036,5,183,56,10,1,118,51,56
Pittsburgh,16,2504,81,691,103,980,22,289,25,5,4,90,49,32
San Francisco,16,2501,85,731,79,709,-6,-22,25,14,4,103,43,42
Seattle,16,2596,84,662,94,803,10,141,36,19,2,105,46,38
Tampa Bay,16,2502,84,715,95,1015,11,300,36,8,5,97,36,48
Tennessee,16,2565,86,783,103,840,17,57,31,9,2,97,41,45
Washington,16,2497,87,697,85,708,-2,11,39,12,1,100,39,48
Totals,256,40343,2876,24932,2876,24932,,,1030,392,98,3366,1392,1484
